Month,Department,Budgeted Amount,Actual Spending,Variance
Dec,Finance,9701,9203,-498
Jul,HR,8726,5921,-2805
Jun,Sales,19127,20448,1321
Feb,Sales,13403,14716,1313
Aug,Operations,14801,16427,1626
Apr,Operations,19485,20301,816
Jan,Operations,9724,9778,54
Oct,IT,8185,10649,2464
Jul,Sales,6117,3566,-2551
Jun,Finance,9938,9869,-69
Aug,Operations,12122,15101,2979
Jul,HR,6932,5365,-1567
Jul,Marketing,9928,8042,-1886
Dec,Sales,8126,6306,-1820
Dec,Sales,18771,21332,2561
Jan,Finance,14304,12616,-1688
Aug,HR,19031,16343,-2688
Mar,Operations,5026,7300,2274
May,Marketing,10434,11670,1236
Oct,Marketing,12349,12431,82
Oct,Finance,6218,3226,-2992
Sep,IT,19349,21649,2300
Aug,Operations,18541,16040,-2501
Apr,Operations,13845,12626,-1219
Oct,IT,13706,12094,-1612
Dec,Operations,8911,10716,1805
Feb,Operations,11253,11560,307
Jul,Sales,17317,20087,2770
Apr,Finance,9259,7555,-1704
Jun,Sales,13902,12117,-1785
Oct,Operations,12091,10011,-2080
Aug,Finance,18811,20803,1992
Jul,IT,12443,15147,2704
Nov,IT,14425,11591,-2834
Dec,IT,17875,15033,-2842
May,Operations,9416,7343,-2073
Jul,Marketing,5273,5053,-220
Jun,Marketing,11036,12653,1617
Feb,Marketing,5356,7114,1758
Jul,Marketing,7094,7584,490
Jan,Marketing,19171,16669,-2502
Mar,IT,7855,10027,2172
May,IT,18543,18425,-118
Dec,Finance,9546,11349,1803
Jan,Finance,17823,16114,-1709
Nov,Finance,10959,8005,-2954
Dec,Marketing,14305,14187,-118
Jun,Sales,16852,18380,1528
Dec,Marketing,11601,12362,761
Nov,Marketing,12361,9605,-2756
Jun,Finance,15044,15358,314
Oct,IT,18099,17445,-654
Apr,Marketing,17761,17012,-749
Jul,Operations,12481,11014,-1467
Sep,Finance,12971,14761,1790
Jun,Marketing,12636,12929,293
Sep,Operations,10740,12542,1802
May,IT,13929,11880,-2049
Feb,Sales,16406,15931,-475
Oct,Sales,18376,19933,1557
Jan,Sales,19195,19920,725
Dec,Sales,15233,16631,1398
Oct,Operations,7317,5877,-1440
Jan,Finance,6720,5701,-1019
Mar,Operations,5481,3300,-2181
Apr,HR,10401,11538,1137
Oct,IT,9634,7981,-1653
Jul,Marketing,19978,19935,-43
Dec,Finance,18120,16678,-1442
Mar,Sales,6365,4050,-2315
Dec,Finance,17726,19338,1612
Mar,IT,9445,7182,-2263
Apr,Sales,11326,14041,2715
May,IT,8442,6118,-2324
Jul,Finance,6112,6493,381
Mar,Marketing,13028,12663,-365
Aug,HR,12796,10729,-2067
Jul,Finance,15977,18871,2894
May,Marketing,5238,5726,488
Nov,Finance,19426,21949,2523
Jan,IT,5903,6780,877
Dec,Finance,19676,17246,-2430
Jan,Finance,7134,9608,2474
Jul,Marketing,16130,17310,1180
Aug,Operations,19842,18193,-1649
May,Operations,9329,6732,-2597
Dec,HR,19092,17313,-1779
Aug,Operations,7095,5610,-1485
Mar,Marketing,19813,21133,1320
Dec,Marketing,11560,14295,2735
Apr,IT,7916,6213,-1703
Apr,Finance,13880,12939,-941
Dec,Sales,16172,15119,-1053
Jun,HR,12137,11461,-676
Jul,HR,9146,6512,-2634
Nov,Operations,19146,17949,-1197
Dec,IT,12030,11361,-669
Oct,IT,10852,8946,-1906
Oct,Operations,13718,15212,1494
May,HR,13109,13298,189
May,Operations,19013,18433,-580
Dec,HR,11163,8240,-2923
Nov,HR,6891,6937,46
Feb,HR,14526,16084,1558
Sep,Marketing,9074,10284,1210
May,IT,7276,8141,865
Jul,HR,19574,18545,-1029
Dec,HR,18227,18807,580
Mar,Finance,14448,16267,1819
Aug,Marketing,8218,10173,1955
Sep,Finance,14371,15168,797
Jul,Finance,13384,14567,1183
Jun,Operations,14517,11837,-2680
Mar,Operations,6106,5245,-861
Nov,Marketing,13399,12576,-823
May,Operations,11751,10603,-1148
Jan,Operations,16776,17577,801
Dec,IT,10792,7952,-2840
Dec,Marketing,9311,9194,-117
Nov,HR,17937,20691,2754
Apr,Operations,15459,13181,-2278
Jun,Marketing,19565,18580,-985
Apr,Finance,13331,11694,-1637
Jul,Operations,19684,17162,-2522
Oct,Marketing,19668,21175,1507
Mar,IT,5662,3915,-1747
Apr,Operations,7280,9387,2107
Jul,IT,15056,15654,598
May,Sales,8402,10129,1727
Mar,Marketing,15982,13192,-2790
Apr,Marketing,7223,4439,-2784
May,IT,19980,22436,2456
Feb,Operations,15912,13325,-2587
Jun,HR,14749,12796,-1953
Jan,Operations,13641,11743,-1898
Jul,Marketing,11772,11847,75
May,IT,15277,14730,-547
Jun,Finance,19716,18358,-1358
May,Operations,17763,16091,-1672
Jul,Marketing,12149,12834,685
Aug,Operations,18691,17374,-1317
Feb,Sales,15975,15948,-27
Nov,Operations,5650,8145,2495
Sep,Finance,16563,14641,-1922
Aug,Finance,13591,15660,2069
Feb,HR,13801,15302,1501
Jan,Finance,16967,14000,-2967
Apr,Marketing,6963,9727,2764
Mar,HR,5354,6831,1477
Feb,Sales,14565,14677,112
Nov,Operations,18291,17585,-706
Dec,Finance,7643,5871,-1772
Aug,Marketing,16224,16429,205
Dec,Operations,15805,16166,361
Jan,HR,11049,8398,-2651
Apr,Finance,7235,9579,2344
May,Marketing,8049,7092,-957
Aug,Operations,5433,2594,-2839
Jan,Operations,8808,6801,-2007
Jun,HR,15523,16880,1357
Sep,HR,18422,19568,1146
Mar,HR,17983,15175,-2808
Aug,HR,8399,9537,1138
Jun,Operations,13839,12800,-1039
Jun,Marketing,7892,7302,-590
Jul,Finance,19177,20171,994
Oct,Finance,10724,11770,1046
Jun,Marketing,19884,20453,569
May,Marketing,17958,20460,2502
Feb,Operations,17682,16480,-1202
Nov,Finance,11943,13875,1932
Oct,Operations,16031,17699,1668
Nov,HR,11098,11747,649
Aug,HR,15557,12888,-2669
Oct,Operations,18580,20593,2013
May,Finance,10558,12546,1988
Mar,HR,15104,14413,-691
Mar,HR,9237,7336,-1901
Feb,Finance,5599,7117,1518
Jun,Sales,8042,6299,-1743
Jul,HR,7273,7484,211
Dec,IT,14930,15339,409
Jul,Operations,9189,12056,2867
May,HR,10002,7913,-2089
Nov,Sales,16566,18813,2247
Dec,Sales,10726,12211,1485
Feb,Sales,15132,16329,1197
May,HR,15926,16513,587
Apr,HR,12393,12762,369
May,IT,7151,8023,872
Oct,IT,14587,14003,-584
Sep,Marketing,11570,10535,-1035
Jan,Marketing,12633,10049,-2584
Nov,Operations,10997,8779,-2218
Jan,Sales,9060,6310,-2750
May,IT,17530,17550,20
Sep,HR,6683,8498,1815
Jul,HR,11156,12146,990
Dec,HR,14129,16524,2395
Jan,Marketing,18481,16878,-1603
Sep,Finance,12612,12756,144
May,Finance,10407,9757,-650
May,Marketing,17079,17290,211
Oct,Marketing,19454,17235,-2219
Dec,Sales,16217,15941,-276
Jul,HR,9397,11696,2299
Nov,IT,6652,6314,-338
Jan,Operations,19614,21052,1438
Nov,HR,12622,10562,-2060
Sep,Sales,10852,12986,2134
Nov,Sales,8333,8528,195
Aug,Marketing,14732,16410,1678
Jul,HR,7225,5626,-1599
Jun,IT,12659,11411,-1248
Feb,Finance,5259,3999,-1260
Oct,Marketing,8308,6472,-1836
Nov,Sales,15249,13736,-1513
Feb,Operations,5032,5005,-27
Oct,IT,18284,17308,-976
Nov,Finance,15776,15465,-311
Oct,HR,15307,13600,-1707
Jun,HR,5551,3969,-1582
Nov,Finance,8357,7015,-1342
Dec,Marketing,15661,14162,-1499
Jan,Sales,10559,12730,2171
Oct,IT,7493,9196,1703
Mar,HR,19522,19351,-171
Aug,Sales,10760,13208,2448
Sep,Sales,10868,12899,2031
Feb,HR,12468,12268,-200
Apr,Marketing,16420,18257,1837
Nov,Sales,11072,13306,2234
Oct,Marketing,5530,3285,-2245
Feb,Operations,18521,16884,-1637
Aug,Marketing,14275,14020,-255
May,Marketing,16945,18552,1607
Dec,HR,19679,21610,1931
Jan,IT,8005,10872,2867
Nov,Finance,15817,13147,-2670
Dec,Operations,17841,17948,107
Jul,Operations,14070,11348,-2722
Mar,IT,14994,13686,-1308
Apr,IT,9971,12916,2945
Jul,IT,6439,7906,1467
Jan,IT,8845,8523,-322
May,IT,16115,17143,1028
Feb,IT,17585,14720,-2865
Jun,IT,18996,20965,1969
Apr,IT,12235,9957,-2278
Aug,Sales,7753,9077,1324
Jun,IT,7970,10847,2877
Aug,Marketing,10567,8878,-1689
Jul,IT,10223,9899,-324
Jan,IT,9763,10466,703
May,Sales,16237,15853,-384
Aug,HR,5641,7159,1518
Jan,IT,9941,11947,2006
Oct,Sales,13184,12183,-1001
Mar,Sales,8452,9980,1528
Mar,HR,8590,8143,-447
Dec,IT,9346,6939,-2407
Feb,Sales,15665,16162,497
Dec,Finance,10248,11405,1157
Feb,Sales,17424,19066,1642
Dec,HR,16454,13933,-2521
Jul,Marketing,13851,13780,-71
Sep,Finance,7136,9504,2368
Sep,Operations,13991,15688,1697
Mar,Marketing,16912,14781,-2131
Oct,Sales,6523,9309,2786
May,Sales,10838,12084,1246
May,Finance,6314,4748,-1566
May,Sales,13620,13637,17
Nov,Finance,19342,20415,1073
Jun,Operations,14910,13445,-1465
Nov,Finance,6410,7820,1410
May,Marketing,10338,7542,-2796
Oct,Marketing,19839,21246,1407
Feb,Sales,12875,10020,-2855
Jan,Sales,5923,3561,-2362
Sep,Finance,6710,7428,718
Feb,IT,14331,12377,-1954
Aug,HR,5689,8277,2588
Oct,HR,6411,4170,-2241
Jun,IT,9942,8111,-1831
Mar,IT,8720,10294,1574
May,Finance,18208,17995,-213
Jul,Sales,16354,13596,-2758
Jun,HR,6315,6399,84
Oct,Marketing,6694,9158,2464
Aug,IT,11304,9800,-1504
Mar,Marketing,16055,15478,-577
Jan,Marketing,17011,17243,232
Dec,IT,18835,16625,-2210
Oct,HR,15857,17400,1543
May,Sales,7671,7127,-544
Mar,Operations,8135,6626,-1509
Apr,Finance,13898,13710,-188
Mar,Marketing,8200,8283,83
Feb,Sales,9196,6300,-2896
Dec,Operations,11925,11312,-613
Oct,Operations,5112,7327,2215
Jan,Marketing,13362,10892,-2470
Feb,HR,16187,14749,-1438
Feb,Marketing,10920,9045,-1875
Jul,HR,18518,19552,1034
Jul,IT,9324,10247,923
Mar,Operations,18839,21418,2579
Oct,IT,12670,14071,1401
Oct,Sales,19285,19966,681
Jun,Operations,10983,13103,2120
Feb,Finance,19890,19643,-247
Mar,HR,6968,7642,674
May,HR,5237,5508,271
Jan,HR,8744,9533,789
Aug,IT,15391,13536,-1855
Aug,Sales,7058,8931,1873
Nov,Operations,13547,10603,-2944
Aug,IT,6091,5319,-772
Apr,Operations,6619,7038,419
Mar,Marketing,12175,13230,1055
Aug,HR,8918,6705,-2213
Feb,Sales,12086,15047,2961
Mar,Operations,7489,4551,-2938
May,Operations,5360,3997,-1363
May,HR,18803,16879,-1924
Mar,Marketing,15271,12554,-2717
Dec,Finance,17059,15685,-1374
Feb,Operations,10977,9287,-1690
Nov,Finance,16743,17051,308
Feb,IT,14638,16153,1515
Oct,IT,16934,19609,2675
Jun,HR,14659,16173,1514
Apr,Sales,11612,13501,1889
Feb,Marketing,13630,11414,-2216
Oct,Operations,6961,4900,-2061
Aug,HR,17913,18778,865
Jun,Finance,15282,14083,-1199
Feb,Finance,19303,20348,1045
May,Operations,18392,16720,-1672
Feb,Marketing,7553,9018,1465
Jul,Sales,7970,7150,-820
Nov,Operations,13825,12327,-1498
Jul,Sales,12366,14352,1986
Sep,Finance,10021,11026,1005
May,IT,8572,10144,1572
Sep,IT,17474,14670,-2804
Apr,Marketing,12142,11930,-212
Apr,Marketing,6653,7110,457
Sep,Finance,19128,21120,1992
Nov,HR,6443,4099,-2344
Nov,Marketing,8153,5706,-2447
Feb,Marketing,15152,12219,-2933
Dec,Finance,11151,13082,1931
Jan,Sales,15027,12312,-2715
Nov,Sales,18580,19925,1345
Apr,IT,6311,5716,-595
Sep,Finance,14512,14410,-102
Jun,Marketing,8939,9408,469
Apr,HR,15510,16038,528
Oct,HR,6880,6643,-237
Nov,Finance,9674,10333,659
Feb,HR,6311,6695,384
Sep,IT,19047,21521,2474
May,Finance,10275,12342,2067
Jun,HR,13094,12768,-326
Mar,HR,5357,6075,718
Nov,HR,5983,7844,1861
Dec,IT,13967,16509,2542
Jul,Operations,16701,15781,-920
Oct,Marketing,5281,3141,-2140
Nov,Sales,16520,14696,-1824
May,Finance,7856,7223,-633
May,Sales,19544,22424,2880
Jun,Sales,13430,13409,-21
Dec,Finance,16828,17930,1102
Aug,Operations,10168,12307,2139
Feb,HR,8592,6312,-2280
Mar,Finance,10774,9309,-1465
Jun,IT,10977,7993,-2984
May,Finance,15643,12679,-2964
Dec,Sales,19810,19919,109
Oct,Finance,6669,8550,1881
Feb,Operations,9608,9457,-151
Dec,IT,17341,16626,-715
Sep,Operations,11163,13197,2034
Jun,Marketing,8393,6595,-1798
Jun,IT,16880,14428,-2452
Dec,Operations,10411,11036,625
Jun,IT,14421,16277,1856
Oct,Sales,17631,16956,-675
Jun,HR,8181,6474,-1707
Feb,Operations,13521,13510,-11
Nov,HR,12862,13496,634
Jun,Finance,16138,13993,-2145
Dec,IT,13913,14052,139
Oct,Sales,11261,13391,2130
Oct,Finance,9678,12225,2547
Apr,Marketing,8344,7325,-1019
Jun,IT,8311,11055,2744
Sep,Marketing,16900,18899,1999
Mar,IT,19721,20227,506
Aug,HR,10668,8591,-2077
Apr,Marketing,11197,10867,-330
Jul,IT,7315,5447,-1868
Nov,HR,5348,6038,690
Jun,Finance,5371,6049,678
Mar,HR,6445,5805,-640
Feb,Sales,15748,17325,1577
Jun,Operations,15276,18007,2731
Apr,IT,17249,18880,1631
Aug,HR,18366,18654,288
Jun,Operations,16826,17734,908
Oct,Operations,16255,18573,2318
Dec,Sales,9508,11814,2306
Jun,Operations,11118,9928,-1190
Jun,Operations,6491,8923,2432
Jul,Marketing,19185,18897,-288
Dec,Operations,6644,7495,851
Sep,IT,14598,16353,1755
Mar,IT,15064,14272,-792
Aug,Marketing,7222,6792,-430
Sep,Finance,11696,12445,749
Mar,Sales,16307,18023,1716
Jun,IT,14057,14967,910
