date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2019-01-01,1584,3119.58,3212.07,0.38,3676.11,inflation,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,Freelance,1501.65,Investments,Positive,8.3,Low,0.0,0
2019-01-31,1045,3262.44,3732.81,0.1,2607.17,inflation,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,Salary,1603.17,Investments,Positive,22.6,Low,0.0,0
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,inflation,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,Freelance,1097.82,Healthcare,Positive,58.8,Low,0.0,0
2019-04-01,1724,3506.79,2327.59,0.17,3346.97,normal,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,Freelance,1155.64,Groceries,Positive,74.5,Low,1179.2,0
2019-05-01,1600,4606.87,2182.58,0.34,2670.09,inflation,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,Salary,1170.86,Utilities,Negative,38.7,High,2424.29,0
2019-05-31,1985,4028.39,3876.57,0.26,2079.72,recession,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,Salary,548.67,Healthcare,Positive,53.7,Medium,151.82,0
2019-06-30,1194,4145.45,3035.61,0.15,2215.8,normal,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,Freelance,637.04,Transportation,Positive,74.7,High,1109.84,0
2019-07-30,1600,3202.37,2689.51,0.25,3650.48,normal,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,Salary,1453.18,Entertainment,Neutral,83.1,Medium,512.86,0
2019-08-29,1835,4765.11,2628.56,0.06,2813.81,normal,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,Salary,1675.75,Education,Negative,71.6,Low,2136.55,0
2019-09-28,1454,3581.79,3370.8,0.13,2195.92,normal,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,Salary,682.16,Entertainment,Positive,77.9,High,210.99,0
2019-10-28,1045,3832.71,3230.77,0.23,3178.17,normal,611.0,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,Mixed,1254.48,Investments,Positive,62.5,Medium,601.94,0
2019-11-27,1357,2136.79,3444.29,0.34,2685.16,normal,669.0,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,Freelance,773.98,Entertainment,Negative,36.1,High,0.0,0
2019-12-27,1403,5462.92,3049.29,0.29,2973.21,recession,670.0,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,Salary,1502.86,Groceries,Positive,39.0,Low,2413.63,0
2020-01-26,1884,2110.66,2707.86,0.24,1420.73,recession,647.0,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,Salary,790.3,Insurance,Positive,17.2,Medium,0.0,0
2020-02-25,1675,3507.29,2661.4,0.26,3493.12,normal,739.0,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,Salary,1009.85,Investments,Neutral,11.2,Medium,845.89,0
2020-03-26,1750,2098.58,4614.09,0.16,2896.61,normal,620.0,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,Salary,868.9,Dining Out,Positive,94.2,Low,0.0,0
2020-04-25,1222,3677.65,3489.82,0.3,2068.33,normal,631.0,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,Mixed,1284.68,Groceries,Negative,50.0,Low,187.83,0
2020-05-25,1050,1884.19,2764.11,0.29,3904.13,normal,676.0,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,Mixed,1187.56,Dining Out,Positive,68.6,Low,0.0,0
2020-06-24,1234,3697.31,3523.56,0.17,3122.47,normal,743.0,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,Salary,919.0,Dining Out,Negative,90.6,Medium,173.75,0
2020-07-24,1447,4726.33,3948.38,0.14,2539.69,normal,691.0,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,Salary,929.73,Transportation,Negative,73.7,Low,777.95,0
2020-08-23,1347,2911.22,1886.67,0.17,2330.65,normal,631.0,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,Salary,1501.13,Investments,Neutral,43.5,High,1024.55,0
2020-09-22,1918,3972.53,2793.73,0.22,2700.51,normal,759.0,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,Mixed,1187.25,Insurance,Neutral,79.7,Low,1178.8,0
2020-10-22,1879,5136.85,2474.84,0.28,2837.11,inflation,694.0,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,Salary,943.32,Healthcare,Neutral,81.4,Low,2662.01,0
2020-11-21,1057,4124.22,2712.7,0.26,3029.37,normal,706.0,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,Salary,839.09,Utilities,Neutral,78.3,Low,1411.52,0
2020-12-21,1129,4622.48,2219.51,0.18,2541.05,normal,661.0,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,Salary,903.63,Groceries,Negative,64.1,Low,2402.97,0
2021-01-20,1680,4859.63,2830.71,0.4,2665.05,normal,609.0,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,Salary,1611.29,Healthcare,Positive,39.8,Low,2028.92,0
